pk_unique_id,name,facilityTypeId,operatorTypeId,address_city,address_stateOrRegion,specialties,equipment,capability,anomaly_score,graph_anomaly,region
604,Ruma Fertility and Specialist Hospital,hospital,private,Kumasi,,"[""reproductiveEndocrinologyAndInfertility"",""gynecologyAndObstetrics"",""pediatrics"",""generalSurgery"",""internalMedicine"",""chronicDiseasePreventionAndLifestyleMedicine"",""urology"",""urogynecologyAndReconstructivePelvisSurgery"",""preventiveMedicine""]","[""Has 4 fully equipped operating theatres"",""Operating theatres equipped with advanced systems"",""On-site laboratory and scanning centers"",""Water birth suite available"",""Pediatric care unit""]","[""Does not have a dedicated emergency department"",""Provides OPD services"",""OPD hours: Monday–Saturday 08:00–17:00; Sunday: Closed"",""Hospital hours: Monday–Friday 08:00–20:00; Saturday: 09:00–18:00; Sunday: 09:00–18:00; Emergency: 24 hours"",""Assisted conception treatment started in 2012"",""Recipient of Best Assisted Conception Award in 2016"",""Staff includes fertility specialists, obstetricians/gynecologists, and pediatricians"",""Dedicated research team and innovation program"",""Water birth delivery offered""]",0.27957076,True,Unknown
624,Samj Specialist Hospital,hospital,,Cantonments,Greater Accra Region,"[""internalMedicine"",""gynecologyAndObstetrics"",""reproductiveEndocrinologyAndInfertility"",""pediatrics"",""generalSurgery"",""dentistry"",""ophthalmology"",""radiology"",""pathology"",""neonatologyPerinatalMedicine""]","[""Three operating theatres for major and minor cases"",""On-site laboratory facilities"",""Ambulance services"",""Neonatal Intensive Care Unit (NICU)"",""X-ray imaging facility""]","[""Founded February 2010"",""Has 60 beds"",""Outpatient Department (OPD), consulting rooms, recovery wards, treatment rooms, labour wards, NICU, general wards and executive wards"",""Three operating theatres"",""On-site laboratory, pharmacy and ambulance services"",""Fertility Centre offering in vitro fertilization (IVF) and artificial insemination (ISU)"",""X-ray service availability: Mon-Thu after 2pm; Emergency X-ray available anytime"",""Dental service availability: Mon-Wed and Fri from 8am; Saturdays by appointment"",""Eye service availability: Mon, Wed, Fri, and Saturdays by appointment"",""Accepted six major health insurance providers: Acacia, Cosmopolitan, Glico, Equity, ACE and GAB Health Insurance"",""Contact location: GE-237-8270, Ecomog Rd Haatso, Accra; Phone 0302900771; Whatsapp 0509267731""]",0.2637442,True,Greater Accra
677,St. John of God Hospital (ASAFO),hospital,,SEFWI-ASAFO,Western North Region,"[""internalMedicine"",""gynecologyAndObstetrics"",""orthopedicSurgery"",""pathology"",""radiology"",""ophthalmology"",""maternalAndChildHealth"",""adolescentMedicine"",""maternalFetalMedicineOrPerinatology"",""pediatrics"",""generalSurgery""]",[],"[""Provides General OPD"",""Provides Emergency services"",""Provides Inpatient Care"",""Provides Maternity services"",""Provides Surgery services"",""Provides Obstetrics & Gynaecology Services"",""Provides Orthopaedic consultations"",""Provides Laboratory services"",""Provides Pharmacy services"",""Provides X-ray services"",""Provides ECG services"",""Provides Ultrasound Scan services"",""Provides Antenatal services"",""Provides Postnatal care"",""Provides Child welfare services"",""Provides School Health services"",""Provides Adolescent Health services"",""Provides Reproductive & Child Health services"",""Provides Counselling & Testing for HIV & PMTCT"",""Provides Eye Services""]",0.2529672,True,Western North
492,Mother-Love Hospital,hospital,,Adenta-Fafraha,Greater Accra,"[""gynecologyAndObstetrics"",""pediatrics"",""ophthalmology"",""otolaryngology"",""generalSurgery"",""pathology"",""radiology"",""dentistry"",""emergencyMedicine"",""internalMedicine""]","[""Ultrasound unit onsite"",""X-ray imaging equipment onsite"",""ECG equipment onsite""]","[""Located in Adenta-Fafraha, Accra, Ghana"",""24/7 emergency services with a dedicated 24/7 emergency hotline: +233 302 552 153"",""General OPD operates 24 hours"",""Dental care available Monday through Saturday from 9:00 am to 2:00 pm"",""Dietician clinic on Mondays from 8:00 am to 12:00 pm"",""Paediatrics clinic on Tuesdays at 3:00 pm"",""Eye clinic on Wednesdays at 9:00 am"",""ENT clinic on Saturdays from 10:00 am to 1:00 pm"",""Departments include Maternity, Dentistry, Pharmacy, Laboratory, and Ultrasound Unit"",""Services include Obstetrics & Gynaecology, Pediatrics, Ophthalmology, Ear, Nose & Throat, Surgery, Clinical Psychology, and Dietetics"",""Pharmacy operates 24 hours"",""X-ray imaging and ECG services are offered"",""GPS: GM-088-9846""]",0.29713926,True,Greater Accra
405,Kwadwo Boapim Herbal Clinic,clinic,private,Accra,,"[""endocrinologyAndDiabetesAndMetabolism"",""gynecologyAndObstetrics"",""andrologyAndMaleFertility"",""reproductiveEndocrinologyAndInfertility"",""neurology"",""cardiology"",""chronicDiseasePreventionAndLifestyleMedicine""]",[],"[""Ministry of Health-approved Herbal Clinic and Research Lab (Reg. No. TMPP01644)"",""Located at B308/15 Sakatsuru Link, New Abossey Okai, Accra, Ghana"",""Treats chronic and lifestyle diseases including diabetes, obesity, fibroid, impotence, barrenness, stroke, hypertension"",""Phone number +233 30 291 5140"",""Email info@kwadwoboapim.com"",""Website kwadwoboapim.com""]",0.20343147,False,Unknown
184,Danpong HealthCare,clinic,private,Accra,,"[""urology"",""pediatrics"",""dentistry"",""ophthalmology"",""otolaryngology"",""radiology"",""orthopedicSurgery"",""chronicDiseasePreventionAndLifestyleMedicine"",""endocrinologyAndDiabetesAndMetabolism""]","[""X-ray machine with advanced technology""]","[""Has 5 branches (noted as 5 BRANCHES AND COUNTING)"",""Spintex and Nungua branches provide 24/7 support"",""Ambulance service for pre-hospital emergency care"",""Pharmacy provides 24-hour service"",""Founded in 1989 as Danpong Pharmacy (GH) Ltd; first pharmacy opened in 1991 at Nungua with eight workers"",""Offers clinics/departments including Imaging, General Clinic, ENT, Medical Lab, Pharmacy, X-ray, Urology, Paediatrics, Dietician, Diabetic & Hypertensive Clinic, Dental Clinic, Psychologist, Optometry & Optical Services, Orthopedic Clinic"",""Danpong on Wheels provides homecare services"",""Danpong App available on Google Play and Apple App Store"",""Accepts insurance from over 30 local and international providers"",""Contact channels: website https://www.danponggroup.net; email info@danponggroup.net; customerservice@danponggroup.net; phone numbers 0240-766-900 and 0302-811-153; address 67 Nungua Link, Accra"",""Schedule indicates 24/7 availability""]",0.2628068,True,Unknown
166,"Claron Health International – No 2, Dodi Link, Between Volta Street and Akosombo Road, Airport Residential, Accra, Ghana",,,Accra,Greater Accra,"[""ophthalmology"",""dentistry"",""urology"",""gynecologyAndObstetrics"",""pediatrics"",""physicalMedicineAndRehabilitation"",""occupationalAndEnvironmentalMedicine"",""infectiousDiseases"",""emergencyMedicine""]","[""Mobile X-ray unit"",""ECG equipment"",""Spirometry equipment"",""Fully equipped emergency response vehicle""]","[""Location: No 2, Dodi Link, Between Volta Street and Akosombo Road, Airport Residential, Accra, Ghana"",""Locations: Accra and Takoradi"",""Walk-in OPD offering treatment services, follow-up care and laboratory tests"",""Specialist consultations in Urology, Gynecology, Physiotherapy, Paediatrics, and Nutrition & Diet"",""Eye Care Center and Dental Center are available"",""Molecular and Diagnostic Center offers molecular lab tests for infectious diseases"",""All major laboratory testing with same-day results"",""Emergency Care with a fully equipped vehicle for rapid medical response"",""Remote Site Medical Services provide onsite clinics for mining, factories and remote sites"",""Worksmart program includes field audiometry, ECG, spirometry, eye exams, mobile X-ray and drug screening; 24-hour results with doctors’ comments"",""Vaccination-in-a-Box provides international vaccination center and travelers clinics"",""Oil & Gas Services Medsev offers offshore medical examinations, certifications to work offshore and Medevac/Evacuation services"",""We accept your insurance""]",0.37226224,True,Greater Accra
25,Adiebeba Specialist Hospital,hospital,private,Kumasi,,"[""internalMedicine"",""ophthalmology"",""gynecologyAndObstetrics"",""gynecologicalOncology"",""medicalOncology"",""psychiatry"",""pathology"",""generalSurgery"",""urology"",""emergencyMedicine"",""radiology"",""pediatrics""]","[""Ultramodern equipment"",""State-of-the-art technology""]","[""Pioneers in private sector healthcare delivery in Ghana"",""Open 24/7 with a 24-hour emergency department"",""Available seven days a week with around-the-clock operations"",""Clinical and nursing care provided to international standards"",""Departments include Eye Care, Cervical Cancer, Breast Care, Mental Health, Laboratory, Surgery, Urology, Emergency, USG and ECG Services, Obstetrics and Gynecology, Pharmacy, and Pediatrics""]",0.3597059,True,Unknown
459,"Medicas Hospital, Mampong-Akuapem",hospital,private,Akuapem Mampong,,"[""internalMedicine"",""gynecologyAndObstetrics"",""orthopedicSurgery"",""endocrinologyAndDiabetesAndMetabolism"",""dentistry"",""physicalMedicineAndRehabilitation"",""anesthesia""]","[""Endoscopy equipment used in the Endoscopy Unit"",""Dental equipment used in the Dental Unit"",""Gym with pool and spa facilities as part of the wellness infrastructure"",""Care Home facility equipped with mobility devices""]","[""General Practice: Clinic Days open all week; Times 7am - 7pm"",""Obs & Gynae Services: Clinic Days Monday – Saturday; Times 7:30am - 3pm"",""Diet-Therapy Services: Clinic Days Monday - Friday; Times 9am - 4pm"",""Orthopaedics Services: Clinic Days Tuesday and Saturday; Times 10am - 3pm"",""Endocrine Services: Clinic Days Monday - Friday; Times 8am - 5pm"",""Endoscopy Services: Open Days Monday – Saturday except Wednesday; Times 9am - 4pm"",""Dental Service: Clinic Days Monday - Friday; Times 9am - 4pm"",""Care Home Services: 24 hours"",""Gym/Spa/Physiotherapy Services: Open All Week; Times 5am - 8pm"",""Mortuary & Funeral Home Services: 24 hours"",""NHIS accreditation: Joined NHIS in 2008""]",0.26160994,True,Unknown
304,Greater Accra Regional Hospital,hospital,,Accra,,"[""internalMedicine"",""neurosurgery"",""spineNeurosurgery"",""nephrology"",""pediatrics"",""ophthalmology"",""radiology"",""anesthesia"",""oralAndMaxillofacialSurgery"",""dentistry"",""emergencyMedicine"",""psychiatry"",""pathology""]",[],"[""GARH provides 24-hour emergency and in-patient services"",""GARH serves as a practical attachment site for educational institutions including Accra College of Medicine"",""The hospital's services range from secondary to tertiary level care"",""GARH is described as one of the leading hospitals in Ghana providing tertiary services"",""Senior Management Team includes Gifty Aryee (Head of Nursing), Dr. Ralph Armah (Medical Director), Dr. Henrietta Fiscian (Head of Clinical Services), Adam Mohammed Hardi (Head of Administration & Support Services), Justice Yaovi M. Ahorlu (Head of Finance), Joseph Adjei Tsiase (Head of Pharmacy), Samuel Djanitey (Head of Human Resource)"",""Location is Castle Road, Accra"",""Postal address is P. O. Box GP 473 Accra Ghana"",""Phone numbers are 0302428460 and 0551727552"",""Email address is info@garh.gov.gh"",""Website is garh.gov.gh""]",0.53478444,True,Unknown
251,Finney Hospital and Fertility Centre,hospital,,Accra,,"[""gynecologyAndObstetrics"",""reproductiveEndocrinologyAndInfertility"",""internalMedicine""]",[],"[""Located at Finney Hospital Street, Mile 11, New Bortianor, Accra, Ghana"",""Phone number +233 30 295 0092"",""Email info@finneyhospital.com"",""Always open""]",0.054746,False,Unknown
665,"St. Andrew Catholic Hospital, Kordiabe",hospital,private,Kordiabe,"Shai Osudoku District, Greater Accra Region","[""gynecologyAndObstetrics"",""ophthalmology"",""dentistry"",""publicHealth"",""radiology"",""pathology"",""emergencyMedicine"",""internalMedicine""]","[""Has a hospital ambulance (visible in the Gallery as Hospital Ambulance)""]","[""Operates 24/7 (seven days a week)"",""Offers General OPD, Emergency, Pharmacy, Laboratory, Obs & Gyne, Public Health Unit, Physiotherapy, IPD Services, Theatre, Dental Clinic, Eye Clinc, Wellness Center, Imaging"",""Owned by the Catholic Archdiocese of Accra; locally managed by CHF Sisters from the Holy Family Congregation in India"",""Located on the Kordiabe - Ashaiman road, adjacent to the filling station""]",0.19538845,False,Greater Accra
344,Impact Medical and Diagnostic Center,clinic,,Accra,,"[""neurology"",""urology"",""pediatrics"",""ophthalmology"",""gynecologyAndObstetrics"",""dermatology"",""orthopedicSurgery"",""otolaryngology"",""generalSurgery"",""cardiology"",""physicalMedicineAndRehabilitation"",""clinicalPsychology"",""dietician"",""pulmonology"",""radiology"",""occupationalAndEnvironmentalMedicine"",""oralAndMaxillofacialSurgery"",""endodontics"",""pediatricDentistry"",""orthodontics"",""prosthodontics"",""dentistry""]","[""Digital X-Ray system"",""4D Ultrasound system""]","[""Location: 5 Nyanyo Lane, Asylum Down, Accra, Ghana"",""Open Mon-Fri 8:00am-6:00pm; Sat 9:00am-2:00pm"",""Designated medical facility for Jordan visa medicals"",""Provides physical examinations, vaccinations and laboratory tests for visa applications"",""Offers Home Health Care"",""Offers Occupational Health services"",""Offers Wellness Clinic"",""Offers a wide range of departments including GP, Neurology, Urology, Paediatrics, Ophthalmology, Obstetrics & Gynecology, Dermatology, Orthopaedics, General Surgery, Cardiology, ENT & Audiology, Respiratory/Asthma Clinic, Physiotherapy, Clinical Psychology, Dietician""]",0.41949365,True,Unknown
472,"MENRI Pharmacy - 22 Stewart Avenue, Uaddar Barracks, Bantama, Kumasi, Ghana",farmacy,,Kumasi,,,[],"[""Address: 22 Stewart Avenue, Uaddar Barracks, Bantama, Kumasi, Ghana"",""Phone: +233 32 208 7902"",""Email: menripharmacy@gmail.com"",""Website: menripharmacy.com"",""Opening hours: Always open (24/7) according to Facebook page"",""Staffing: Pharmacists, Pharmacy Technicians, Medicine Counter Assistants"",""Location: Kumasi, Ghana""]",0.40934154,True,Unknown
1,West Africa AIDS Foundation,,,Haatso,,"[""infectiousDiseases"",""maternalFetalMedicineOrPerinatology"",""publicHealth"",""hospiceAndPalliativeInternalMedicine"",""globalHealthAndInternationalHealth""]",[],[],0.23712914,False,Unknown
480,Metro Health Hospital,hospital,,Kumasi,,"[""ophthalmology"",""otolaryngology"",""gynecologyAndObstetrics"",""orthopedicSurgery"",""geriatricsInternalMedicine"",""endocrinologyAndDiabetesAndMetabolism"",""radiology"",""clinicalPathology"",""cardiology"",""nephrology"",""urology"",""internalMedicine""]","[""Ultrasound imaging equipment used for advanced ultrasound services""]","[""24x7 help and support available"",""ElderCare Unit opened on 1 September 2020"",""Departments include Ear, Nose & Throat Unit; Eye Unit; Laboratory Unit; Obstetrics & Gynecology Unit; Hypertensive Clinic; Diabetes Clinic; Pharmacy Unit; Out-Patient and In-Patient Departments"",""ElderlyCare/Geriatric Care services are offered"",""Obstetrics & Gynecology clinic operates Mondays 8:00am–2:00pm"",""Ear, Nose & Throat clinic operates Wednesdays 3:30pm–6:00pm"",""Orthopedics clinic operates Wednesdays 3:00pm–6:00pm""]",0.3806056,True,Unknown
483,Mission Clinic,clinic,private,Accra,Greater Accra Region,"[""familyMedicine"",""dentistry"",""ophthalmology"",""pediatricNeurodevelopmentalDisabilities"",""childAndAdolescentPsychiatry""]",[],"[""Provides family medicine services"",""Provides dental care"",""Provides optical care"",""Has an onsite laboratory"",""Offers pediatric neurodevelopmental services"",""Offers pediatric psychiatric services"",""Located at 70-72 Olympics Road, Kokomlemle, Accra, Ghana"",""Phone: +233 26 626 2212"",""Email: missionclinic1981@gmail.com"",""Always open"",""Price range: $""]",0.3381103,True,Greater Accra
729,The Community Hospital New Ashongman,hospital,private,New Ashongman,,"[""ophthalmology"",""dentistry"",""gynecologyAndObstetrics"",""internalMedicine""]",[],"[""Located on Musuku-ashongman Est Rd, Ghana."",""Private primary hospital."",""Offers general medical services."",""NHIS accredited."",""Verified listing."",""Listed in categories Hospitals, Doctors and Clinics, and Medical Clinics."",""Profile last updated on 18 Apr 2018."",""Registered with GhanaYello on 5 Apr 2018.""]",0.1498185,False,Unknown
54,Alhaji Nuhu Memorial Healthcare Centre,,,Kamgbunli,Western Region,"[""internalMedicine"",""emergencyMedicine"",""radiology"",""pathology"",""gynecologyAndObstetrics"",""psychiatry"",""familyPlanningAndComplexContraception""]",[],"[""Emergency services are provided."",""Outpatient care is provided."",""Inpatient care is provided."",""Diagnostic imaging services are provided."",""Laboratory services are provided."",""Maternity services are provided."",""Mental health services are provided."",""Family planning services are provided."",""Wound care including cuts, burns and dressing is provided."",""Located at Kamgbunli Main Street, Western Region, Ghana.""]",0.26335087,True,Western
19,Acrecity Medics,clinic,private,Accra,,"[""gynecologyAndObstetrics"",""pediatrics"",""otolaryngology"",""internalMedicine"",""clinicalPsychology"",""ophthalmology"",""dermatology"",""dietetics"",""orthopedicSurgery"",""urology"",""generalSurgery""]",,"[""Location: Suite G05 Nester Square, Airport City, Accra, Ghana"",""Serves Airport City and the Greater Accra Metropolis"",""Opening hours: Monday–Friday 08:00–19:00; Saturday 09:00–14:00"",""Offers GP & Specialist Clinics; Diagnostics; Travel & Immunisation; Dispensary; Medical Tourism; Healthcare Events"",""Specialist clinics include Obstetrics & Gynaecology, Paediatrics, ENT, Internal Medicine, Clinical Psychology, Ophthalmology, Dermatology, and Dietetics"",""In-house pharmacists provide complimentary tailored medication consultations and drug interaction checks"",""On-site dispensary available"",""Located 3 minutes' drive from Kotoka International Airport""]",0.2920988,True,Unknown
503,New Crystal Hospital,hospital,private,Ashaiman,,"[""internalMedicine"",""emergencyMedicine"",""gynecologyAndObstetrics"",""pathology"",""amputeeAndProstheticsAndOrthoticsRehabilitation"",""dentistry"",""pediatrics"",""otolaryngology"",""physicalMedicineAndRehabilitation"",""podiatry"",""occupationalAndEnvironmentalMedicine"",""familyMedicine""]",,"[""Operates 24/7 Emergency Department"",""Offers 24/7 ambulance service"",""Head Office: Ashaiman, Accra, Ghana"",""Head Office contact numbers: 0800180260 and +233 544 347 239"",""Operates seven networked branches in two regions"",""9,632 happy patients"",""178 qualified doctors"",""864 clinic rooms"",""Ghana Club 100 recognitions in 2012, 2014, 2015, 2019"",""Working hours show 24/7 operations with a 6:00 AM start"",""Emergency Department operates 24 hours a day, 365 days a year""]",0.39527386,True,Unknown
